#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
9.0,May 156:40 PM,Staten Island,Charleston,9-2,"Meeker, J","Del Prado, N",final|,12,9,0.012,0.0
9.0,May 156:39 PM,Lancaster,Hagerstown,9-8,"Engler, S","Weisenburger, J",final|,11,8,0.0188,0.0
9.0,May 184:08 PM,Lexington,High Point,3-9,"Uelmen, E","Laio, N",final|,10,10,0.0262,0.9734
9.0,May 182:01 PM,Long Island,Lancaster,10-4,"Griffin, D","Bremer, N",final|,9,8,0.5244,0.0188
9.0,May 112:09 PM,Charleston,S Maryland,2-3,"Vazquez, R","Gilman, N",final|,9,9,0.0,
10.0,May 166:39 PM,S Maryland,Charleston,0-3,"Henriquez, J","Hennessey, J",final|,6,10,,0.0
10.0,May 236:33 PM,S Maryland,Hagerstown,11-1,"Thurman, A","Martinez, J",final|,7,9,,0.0
10.0,May 167:18 PM,Hagerstown,York,2-12,"Palm, T","Martinez, J",final|,10,10,0.0,0.4448
10.0,May 1410:40 AM,York,S Maryland,0-3,"Semple, S","Walker, M",final|,7,10,0.4448,
10.0,May 206:50 PM,Hagerstown,Lancaster,5-14,"Skirrow, N","Richardson, D",final|,11,9,0.0,0.0188
10.0,May 206:37 PM,Long Island,Staten Island,8-6,"Asa, J","Meeker, J",final|,10,10,0.5244,0.012
10.0,May 136:47 PM,High Point,Lexington,6-7,"Laio, N","Uelmen, E",final|,10,10,0.9734,0.0262
10.0,May 206:32 PM,Lexington,Gastonia,4-6,"Thompson, C","Wicklander, P",final|,11,10,0.0262,0.0004
10.0,May 307:03 PM,Hagerstown,High Point,3-6,"Halbohn, K","Goodson, D",final|,12,11,0.0,0.9734
10.0,May 136:33 PM,Gastonia,Long Island,3-7,"Griffin, D","Wells, N",final|,10,10,0.0004,0.5244
11.0,May 2112:32 PM,Lexington,Gastonia,7-6,"Ross, D","Snyder, N",final|,12,11,0.0262,0.0004
11.0,May 216:49 PM,Hagerstown,Lancaster,6-3,"Picone, D","Swarmer, M",final|,13,10,0.0,0.0188
11.0,May 246:06 PM,S Maryland,Hagerstown,9-7,"Hennessey, J","Corcino, D",final|,8,10,,0.0
11.0,May 2110:35 AM,Long Island,Staten Island,7-10,"McSweeney, M","Sharp, S",final|,11,11,0.5244,0.012
11.0,May 316:37 PM,Hagerstown,High Point,1-8,"Barraclough, K","Richardson, D",final|,14,12,0.0,0.9734
11.0,May 1410:31 AM,High Point,Lexington,5-2,"Barraclough, K","Wicklander, P",final|,11,11,0.9734,0.0262
11.0,May 176:39 PM,S Maryland,Charleston,3-9,"Sampson, K","Kelly, J",final|,9,11,,0.0
11.0,May 176:36 PM,Hagerstown,York,5-7,"Galdoni, L","Corcino, D",final|,15,11,0.0,0.4448
11.0,May 141:06 PM,York,S Maryland,2-3,"Kahaloa, I","Churchill, I",final|,8,11,0.4448,
11.0,May 146:34 PM,Gastonia,Long Island,2-4,"Case, B","Scott, A",final|,11,11,0.0004,0.5244
12.0,May 252:04 PM,S Maryland,Hagerstown,2-7,"Richardson, D","Semple, S",final|,10,11,,0.0
12.0,May 227:21 PM,Long Island,Staten Island,7-1,"Plesac, Z","Mejia, A",final|,12,12,0.5244,0.012
12.0,May 2211:07 AM,Hagerstown,Lancaster,5-7,"Rees, J","Kickham, M",final|,16,11,0.0,0.0188
