gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624292,1,bottom,Long Island Ducks,Staten Island Ferry Hawks,Chris Roller,3,SB,1,0,2
624292,2,bottom,Long Island Ducks,Staten Island Ferry Hawks,Chad Pike,2,CS,3,0,1
624292,3,bottom,Long Island Ducks,Staten Island Ferry Hawks,Chris Roller,2,SB,3,2,1
624292,9,top,Staten Island Ferry Hawks,Long Island Ducks,Eddy Diaz,2,CS,1,0,0
624292,9,top,Staten Island Ferry Hawks,Long Island Ducks,Damon Dues,2,SB,1,1,2
624293,2,bottom,Long Island Ducks,Staten Island Ferry Hawks,Taylor Kohlwey,2,SB,3,2,2
624293,3,bottom,Long Island Ducks,Staten Island Ferry Hawks,Kole Kaler,2,SB,2,2,1
624293,3,bottom,Long Island Ducks,Staten Island Ferry Hawks,River Town,2,SB,1,0,2
624293,3,bottom,Long Island Ducks,Staten Island Ferry Hawks,Kole Kaler,3,SB,1,0,2
624293,4,bottom,Long Island Ducks,Staten Island Ferry Hawks,Taylor Kohlwey,3,SB,3,2,2
624293,6,top,Staten Island Ferry Hawks,Long Island Ducks,Nate Scantlin,2,SB,0,1,0
624295,5,top,Lancaster Stormers,Long Island Ducks,Brandon Wagner,2,CS,1,2,2
624295,6,bottom,Long Island Ducks,Lancaster Stormers,Troy Viola,2,SB,0,1,3
624296,7,top,Lancaster Stormers,Long Island Ducks,Nick Ward,2,CS,1,1,0
624351,1,bottom,Staten Island Ferry Hawks,Hagerstown Flying Boxcars,Mark Contreras,2,SB,1,0,0
624352,2,top,Hagerstown Flying Boxcars,Staten Island Ferry Hawks,Dilan Rosario,2,CS,3,2,0
624352,3,top,Hagerstown Flying Boxcars,Staten Island Ferry Hawks,Gary Mattis,2,SB,1,2,1
624352,3,bottom,Staten Island Ferry Hawks,Hagerstown Flying Boxcars,Drew Maggi,2,SB,0,1,2
624352,5,bottom,Staten Island Ferry Hawks,Hagerstown Flying Boxcars,Damon Dues,2,SB,2,1,1
624352,5,bottom,Staten Island Ferry Hawks,Hagerstown Flying Boxcars,Eddy Diaz,3,SB,2,1,1
624353,2,bottom,Staten Island Ferry Hawks,Hagerstown Flying Boxcars,Anthony Abbatine,2,SB,1,1,2
